"","Mean","SD","Naive SE","Time-series SE"
"a[1]",59.6635663270973,33.5323577668123,0.136895277335237,1.50081210721514
"a[2]",-16.0243975275009,10.2924070217925,0.0420185757140505,0.459264745732224
"b[1]",-0.0135040497526029,0.797118070948748,0.00325422089762678,0.0179627269214162
"b[2]",1.5453195475638,1.82895850049413,0.00746669181156078,0.0139297613430147
"b[3]",-1.75786452589247,2.01417692272037,0.00822284285392354,0.0121074251381538
"b[4]",-0.592749359560352,1.99104577376827,0.00812841033376196,0.0579560926672096
"b[5]",0.466531405829023,0.995919965598341,0.00406582623394352,0.038111929874307
"sigma_b",-0.0899531276564437,5.24073698446307,0.0213952191467779,0.498010684704949
"sigma_eps",3.80938870510899,0.5160342418408,0.00210670097052322,0.00212767048682875
"u[1]",-0.769265690438764,2.04437979081714,0.00834614554659968,0.0915076078628236
"u[2]",3.01271374826222,3.00812105601861,0.0122806027862795,0.127429428559927
"u[3]",0.187744745875787,3.41467915799893,0.0139403692873565,0.053945446158711
"u[4]",1.06997970677095,2.22466128130346,0.00908214164953284,0.0736079890346914
"u[5]",3.09109254225615,2.04300605127619,0.00834053727840834,0.0854189004900181
